komentar_asli,sentimen
lucu banget videonyağŸ¤£,netral
keren banget kak inspirasi nih!,positif
meoww gemesinnn bangettt!!!,netral
next vlog kemana lagi kak?,netral
relate banget sama akuğŸ˜­ğŸ˜­,netral
jadi laper deh liatnya resepnya dong!,netral
keren banget gerakannya latihannya berapa lama?,positif
lagunya bikin candu judulnya apa ya?,netral
outfitnya kece badai kak!,netral
GGwp! main bareng yuk kak!,netral
makasih tipsnya kak sangat membantu!,netral
tugasku numpuk gara-gara liat tiktok iniğŸ˜­,netral
hahaha bener juga sih,netral
indah banget pemandangannya bikin adem,netral
karyanya luar biasa!,netral
spek PC-nya apa kak?,netral
sehat selalu ya kak!,netral
tutorialnya jelas banget makasih!,netral
wow mobilnya keren!,positif
pengen coba bikin deh!,netral
